subjects	Rank	python.learning.coeff
28323	1	2
28322	2	1.23333333333333
28313	3	1.30909090909091
29239	4	0.664935064935065
28317	5	1.76666666666667
28309	6	0.812987012987013
28305	7	0.968831168831169
28312	8	1.02337662337662
28319	9	0.961038961038961
28330	10	0.94025974025974
28331	11	0.932467532467532
29234	12	1.02857142857143
29240	13	0.898701298701299
28302	14	0.966233766233766
28303	15	1.06493506493506
29227	16	1.08571428571429
29281	17	1.19220779220779
28304	18	1.21818181818182
28314	19	1.26493506493506
28320	20	1.29350649350649
28321	21	1.18181818181818
28326	22	1.21038961038961
29212	23	1.24935064935065
29220	24	1.1974025974026
29221	25	1.2
29233	26	1.24415584415584
29280	27	1.15064935064935
28307	28	1.37402597402597
28308	29	1.26753246753247
28310	30	1.36103896103896
28325	31	1.3038961038961
28327	32	1.23896103896104
28329	33	1.29350649350649
29230	34	1.1974025974026
29245	35	1.35064935064935
28328	36	1.41558441558442
28306	37	1.48311688311688
28311	38	1.48051948051948
28316	39	1.60779220779221
28318	40	1.54545454545454
28324	41	1.64155844155844
